"priority","region","city","business","category","site_status","website_or_social","public_contact","evidence_url","problem_signal","confidence","offer_angle"
"P1","Centar","Podgorica","Vinarija Velimirovich","vinarija/degustacije","slab ili nezavršen sajt","https://velimirovich.me/","+382 68 751 978; vinarija.velimirovic@gmail.com","https://velimirovich.me/","Na hero sekciji je vidljiv Lorem ipsum i generičko dugme 'Click Here'.","high","Vizuelna priča o vinima, degustacijama i rezervacijama posjeta."
"P1","Sjever","Bijelo Polje","Restoran i apartmani Obrov","restoran/smještaj/proslave","slab ili nezavršen sajt","https://obrov.me/","restoran@obrov.me","https://obrov.me/","Na naslovnoj stoji +382 000 000 i čitav engleski Lorem ipsum/demo blok.","high","Brzo završavanje postojećeg sajta, pravi kontakt i rezervacije za sobe/proslave."
"P1","Sjever","Bijelo Polje","Hotel Bijela Rada","hotel/restoran","zvanični sajt nije pronađen nakon provjera","","+382 68 866 456; +382 50 432 908","https://www.montenegro.travel/en/poi/1749-bijela-rada","Prepoznatljiv aktivan hotel postoji na turističkim portalima, ali nakon provjera nije pronađen vjerodostojan zvanični domen.","medium-high","Centralna stranica za sobe, restoran, ponude i direktnu rezervaciju."
"P1","Sjever","Mojkovac","Restoran Most / Tara Turist","restoran/smještaj/eventi","zvanični sajt nije pronađen nakon provjera","","+382 67 224 282; +382 69 812 822; danilovuc@t-com.me","https://moja-djelatnost.me/restoran-tradicionalne-kuhinje-mojkovac/tara-turist-doo/MM137sHl","Kapacitet do 250 gostiju, 9 soba i apartman, ali pronađen je samo direktorijumski profil.","medium-high","Landing stranica za putnike, grupne ručkove, proslave i sobe."
"P1","Primorje","Kotor","Hotel Marija","hotel","zastario/nepouzdan sajt","https://hotelmarija.me/","+382 32 335 307","https://www.montenegro.travel/en/poi/538-marija","Indeksiran je footer iz 2014. i neuobičajene URL putanje; root domen je tokom provjere vraćao grešku.","medium-high","Višejezični booking za hotel u Starom gradu sa sobama, mapom i jasnim CTA."
"P1","Primorje","Igalo/Herceg Novi","Hotel Novi","hotel","tehnički problematičan/stario sajt","https://www.hotel-novi.com/","+382 67 365 656; +382 31 580 777; hotelnovi@t-com.me","https://www.hotel-novi.com/","Direktan pristup je vraćao verifikacionu/anti-bot stranicu; indeksirani sadržaj je star i sadrži tipografske greške.","medium","Ponuda za porodice, sportske ekipe i wellness goste uz pouzdan booking."
"P1","Sjever","Pljevlja","Restoran i hotel Taša","restoran/hotel/event centar","zastario/prosječan sajt","https://restoran-tasa.me/?lang=sr","+382 69 570 177; tasaneco@t-com.me","https://restoran-tasa.me/?lang=sr","Objekat otvoren 2011. se i dalje opisuje kao 'najnoviji'; generički alt tekstovi i slab put do jelovnika/rezervacije.","high","Objediniti hotel, restoran, salu do 600 mjesta i igraonicu u jasne prodajne tokove."
"P1","Primorje","Ulcinj","Plaza Hotel & SPA","hotel/spa","indeksirane demo stranice","https://plazahotelmontenegro.com/home-2/","javni kontakt provjeriti na dan outreach-a","https://plazahotelmontenegro.com/home-2/","Indeksirana demo stranica sadrži Lorem ipsum, cijene u dolarima, stock slike, +382 69 000000 i info@example.com.","medium-high","Ukloniti indeksirani demo sadržaj i usmjeriti organski saobraćaj ka pravim sobama i rezervaciji."
"P2","Primorje","Ulcinj","Hotel Edita","hotel","indeksirane template stranice","https://hoteledita.me/features/full-width/","+382 69 886 659; booking@hoteledita.me","https://hoteledita.me/features/full-width/","Indeksirana javna template stranica sadrži veliki Lorem ipsum blok; root se tokom provjere nije stabilno otvorio.","medium","Tehnički cleanup, kontrola indeksacije i jasniji direktni booking."
"P2","Centar","Danilovgrad","Alimento","restoran","zvanični sajt nije pronađen nakon provjera","","+382 67 391 190; +382 67 535 687; sedmorkadg@gmail.com","https://moja-djelatnost.me/restoran-internacionalne-kuhinje-danilovgrad/alimento/MM1BQC7J","Pronađeni su direktorijumski profili, ali ne i sopstveni domen, online meni ili rezervacija.","medium-high","Pozicionirati restoran kao stanicu ka Ostrogu i prodati grupe/proslave."
"P2","Centar","Danilovgrad","R.S. Rakočević","autoservis","zvanični sajt nije pronađen nakon provjera","","+382 68 205 010; rsrakocevic@t-com.me","https://www.moja-djelatnost.me/kompletne-usluge-autoservisa-danilovgrad/rsrakocevic/MM1HdYkl","Javno su opisane brojne servisne usluge, ali nije pronađen sopstveni domen ili online zakazivanje.","medium-high","Usluge, lokacija, WhatsApp i formular za termin."
"P2","Centar","Cetinje","Nova Varoš","restoran","zvanični sajt nije pronađen nakon provjera","","+382 69 035 716; restorakole@t-com.me","https://www.moja-djelatnost.me/restoran-nova-varos-cetinje/nova-varos-doo/MM13DQPe","Aktivan restoran sa kapacitetom oko 120 mjesta; nije pronađen domen, meni ili direktna rezervacija.","medium-high","Turistički meni, proslave, galerija i rezervacije."
"P2","Centar","Podgorica","Andrea Beauty House","beauty/frizerski salon","zvanični sajt nije pronađen nakon provjera","","+382 68 095 535; beautyhouseandreaa@gmail.com","https://www.moja-djelatnost.me/zenski-i-djeciji-frizerski-salon-podgorica/andrea-beauty-house-doo/MM1I5MP9","Aktivan noviji salon je pronađen u registru i direktorijumu, ali ne i sopstveni domen ili booking strana.","medium-high","Cjenovnik, portfolio radova, mapa i rezervacija termina."
"P2","Centar","Podgorica","Auto Centar Montecar-PG","autoservis/auto-otpad","zvanični sajt nije pronađen nakon provjera","","+382 69 972 222; +382 63 212 132; autocentarmontecarpg@gmail.com","https://moja-djelatnost.me/najbolji-auto-servis-i-auto-otpad-podgorica/auto-centar-montecar-pg-doo/MM13zs0Z","Rezultati vode na direktorijume, bez pronađenog jasnog sopstvenog domena ili kataloga djelova.","medium-high","Pretraga polovnih djelova, slike vozila i WhatsApp upit."
"P2","Centar","Zeta/Podgorica","Grill House","roštilj/pizzeria","zvanični sajt nije pronađen nakon provjera","https://www.instagram.com/thegrillh/","+382 67 131 133; terziccompany@gmail.com","https://www.moja-djelatnost.me/najbolji-rostilj-i-pizze-zeta-podgorica/grill-house/MM1CMlBo","Pronađeni su Instagram i direktorijum, ali ne i sopstveni meni, domen ili naručivanje.","medium-high","Mobile-first meni, poziv/WhatsApp i narudžbine za ponijeti."
"P2","Centar","Tuzi","Restoran Zbelj","restoran/domaća kuhinja","zvanični sajt nije pronađen nakon provjera","https://www.instagram.com/restoranzbelj/","+382 69 731 358; asminskrijelj6@gmail.com","https://www.moja-djelatnost.me/restoran-domace-kuhinje-tuzi/restoran-zbelj-tuzi/MM1HKRug","Javno prisustvo je direktorijum plus Instagram; nije pronađen online meni ili rezervaciona strana.","medium","Meni, mapa, WhatsApp i galerija domaće kuhinje."
"P2","Centar","Tuzi","Troja Brands / Restoran Troja","restoran/sala/vinarija","statičan/zastario sajt","https://troja.co.me/","+382 20 875 140; +382 63 210 220","https://troja.co.me/","Statična prezentacija sa copyrightom 2019; glavni tok za meni i rezervaciju nije jasno istaknut.","medium-high","Razdvojiti restoran, proslave i vinariju uz višejezične CTA-ove."
"P2","Centar","Nikšić","Manitovac Caffe Park Restaurant","restoran/izletište","nepouzdan/stari sajt","http://www.manitovac.me/","+382 67 321 432; +382 68 580 038","https://www.findglocal.com/ME/Nik%C5%A1i%C4%87/478142738869107/Caffe-park-restaurant-Manitovac","Javni profili potvrđuju sezonsku aktivnost, dok HTTPS verzija nije bila pouzdano dostupna.","medium-high","Sezonski status, meni, događaji, mapa i rezervacija."
"P2","Centar","Cetinje/Njeguši","Restoran Bastadur","nacionalni restoran","zvanični sajt nije pronađen nakon provjera","","+382 69 346 576","https://foodbook.me/profile/bastadur-njegusi","Pronađeni su samo profili trećih strana; nije pronađen sopstveni domen.","medium","Autentična priča Njeguša, meni, grupe i mapa."
"P2","Centar","Cetinje","Hotel Grand","hotel","stari/nepouzdan sajt","http://hotelgrand.me/","+382 41 231 651; +382 67 312 295","https://www.montenegro.travel/en/poi/2246-grand","Turistički listing navodi HTTP adresu; provjeriti funkcionalnost i vlasništvo prije kontakta.","medium","Sigurna prezentacija soba i aktuelni booking."
"P2","Primorje","Đenovići/Herceg Novi","Small Hotel Fiammanti","mali hotel","stari/nepouzdan sajt","http://www.hotelfiammanti.me","+382 69 010 080; saras@t-com.me","https://www.hercegnovi.travel/en/location/small-hotel-fiammanti-denovici","Turistički listing navodi samo HTTP domen, koji se tokom provjere nije normalno otvorio.","medium","Sobe, lokacija, transferi i direktni upit."
"P2","Primorje","Budva","Beauty Salon Bella Vita","beauty salon","zvanični sajt nije pronađen nakon provjera","https://facebook.com/bellavitabudva","+382 68 887 988","https://www.top-rated.online/cities/Budva/place/p/11048202/Beauty%2BSalon%2BBella%2BVita","Listing kao web navodi Facebook; jake javne recenzije, ali nije pronađen sopstveni domen.","high","Galerija, cjenovnik i WhatsApp zakazivanje koje koristi postojeće povjerenje."
"P2","Primorje","Budva","BELLEZZA","frizerski/kozmetički salon","zvanični sajt nije pronađen nakon provjera","https://www.facebook.com/bellezzabudva/","+382 68 127 600; +382 67 302 507","https://www.moja-djelatnost.me/frizerski-i-kozmeticki-salon-budva/bellezza/MM1Czveg","Direktorijum vodi na Facebook, bez pronađenog sopstvenog domena ili booking strane.","medium-high","Online termini i portfolio za turiste i nove stanovnike."
"P2","Primorje","Budva","Dvorište by Bahçe","restoran","zvanični sajt nije pronađen nakon provjera","https://www.facebook.com/DvoristeByBahce","+382 68 497 173","https://restaurantguru.com/Dvoriste-by-Bahce-Budva","Direktorijumi navode Facebook kao website; nije pronađen nezavisan domen.","high","Meni, rezervacije i lokalni SEO za turski/mediteranski restoran."
"P2","Primorje","Budva","Lambretta Caffe & Restaurant","restoran/kafe/bar","zvanični sajt nije pronađen nakon provjera","https://facebook.com/1944723119138641","+382 69 453 270","https://restaurantguru.com/Lambretta-Caffe-and-Restaurant-Budva-2","Javni profili vode na društvene mreže; nije pronađen sopstveni domen.","high","Cjelodnevni meni i direktne rezervacije."
"P2","Primorje","Kotor","Restoran Cesarica","riblji/mediteranski restoran","zvanični sajt nije pronađen nakon provjera","https://m.facebook.com/cesaricakotor","+382 69 049 733","https://www.kotordirectory.com/restaurants/traditional/restoran-cesarica","Lokalni direktorijum kao website navodi mobilni Facebook, bez pronađenog brendiranog domena.","high","Višejezični meni, rezervacija terase i dnevni ulov."
"P2","Primorje","Kotor","Cattaro Restaurant & Lounge Bar","restoran/lounge bar","zvanični sajt nije pronađen nakon provjera","https://www.facebook.com/cattarorestaurant","+382 69 377 311","https://maps.apple.com/place?auid=4945319567308982284&lsp=9902","Apple Maps kao website navodi Facebook; nije pronađen zvanični domen.","medium-high","Meni, event CTA i rezervacije uz dugu radnu satnicu."
"P2","Primorje","Tivat","Sidro","grill/restoran","zvanični sajt nije pronađen nakon provjera","https://instagram.com/bastasidro","+382 69 171 022","https://www.waze.com/live-map/directions/me/tivat-municipality/tv/sidro?to=place.ChIJVfZVI4MxTBMR1WyhK4fI0Uw","Waze vodi na Instagram; aktuelne recenzije potvrđuju rad, ali nije pronađen sopstveni domen.","high","Mobilni meni, dostava i WhatsApp naručivanje."
"P2","Primorje","Tivat","Mon Ami","kafe/poslastičarnica","zvanični sajt nije pronađen nakon provjera","https://www.facebook.com/monamitivat/","+382 69 259 589","https://restaurantguru.com/Mon-Ami-Tivat","Direktorijumi navode Facebook kao website; nije pronađen sopstveni domen.","medium-high","Galerija torti, cijene i forma za porudžbine."
"P2","Primorje","Bar","Auto Servis Bar","autoservis","zvanični sajt nije pronađen nakon provjera","","+382 69 568 944","https://montenegro.worldplaces.me/view-place/58949044-auto-servis-bar.html","Javni listing navodi društvene mreže i 20 godina iskustva, ali nije pronađen domen.","medium-high","Lokalni SEO, usluge, mapa i zahtjev za termin."
"P2","Primorje","Bar","Chico Rico","beach bar/restoran","zvanični sajt nije pronađen nakon provjera","","+382 67 288 780","https://restaurantguru.com/Chico-Rico-Bar","Ažurirani listing kao web navodi Facebook; nije pronađen sopstveni domen.","high","Sezonski landing, meni, mapa i rezervacija stolova."
"P2","Primorje","Ulcinj","Kino Cafe","cocktail bar/kafe","zvanični sajt nije pronađen nakon provjera","https://facebook.com/kinocafe.ulcinj","+382 69 833 099","https://restaurantguru.com/Kino-Cafe-Ulcinj","Owner-verified listing vodi na Facebook; nije pronađen sopstveni domen.","high","Kalendar događaja, koktel meni i rezervacije."
"P2","Primorje","Ulcinj","Restaurant Marinero","riblji restoran/pizzeria","zvanični sajt nije pronađen nakon provjera","https://www.facebook.com/RestaurantMarinero/","+382 69 595 066","https://www.planplus.rs/crna-gora/restoran-marinero/91764","Turistički/listing rezultati vode na Facebook; nije pronađen sopstveni domen.","medium-high","Višejezični meni i foto-sajt za goste uz obalu."
"P2","Primorje","Ulcinj","Restaurant Taphana","restoran","zvanični sajt nije pronađen nakon provjera","https://www.facebook.com/RestaurantTaphana/","+382 69 235 161","https://wanderlog.com/list/geoCategory/369334/best-restaurants-to-have-dinner-in-ulcinj-municipality","Turistički listing navodi Facebook; nije pronađen sopstveni domen.","medium","Prodati lokaciju u Starom gradu kroz meni, fotografije i rezervacije."
"P2","Primorje","Herceg Novi","Stara Kuća","tradicionalni/mediteranski restoran","zvanični sajt nije pronađen nakon provjera","https://www.facebook.com/KonobaStaraKuca/","+382 31 340 717","https://restaurantguru.com/Konoba-Stara-Kuca-Herceg-Novi","Direktorijumi kao website navode Facebook; nije pronađen zvanični domen.","medium-high","Priča lokala, jelovnik i online rezervacije."
"P2","Sjever","Bijelo Polje","Auto servis Kod Gocija","autoservis","zvanični sajt nije pronađen nakon provjera","","+382 68 786 570; autoservis@gmail.com","https://www.moja-djelatnost.me/auto-servis-bijelo-polje/auto-servis-kod-gocija-doo/MM17GiOs","Pronađen je direktorijumski profil bez web polja i bez centralnog prikaza usluga.","medium-high","Mapa, usluge, galerija i zakazivanje."
"P2","Sjever","Berane","AS Čekić DOO","autoservis","zvanični sajt nije pronađen nakon provjera","","+382 68 687 878; ascekic@gmail.com","https://www.moja-djelatnost.me/automehanicar-berane/as-cekic-doo/MM19CR5d","Pronađen je direktorijumski profil, ali ne i zvanični domen ili online termin.","medium-high","Preporuke, usluge i direktno zakazivanje."
"P2","Sjever","Berane","Frizerski salon Sara","frizerski salon","zvanični sajt nije pronađen nakon provjera","https://www.instagram.com/frizerskisalonsaraberane/","+382 63 422 757; eminamursajbasic90@gmail.com","https://www.moja-djelatnost.me/zenski-frizerski-salon-berane/frizerski-salon-sara---berane/MM1B0lso","Direktorijum upućuje na Instagram; nije pronađen domen, cjenovnik ili centralni booking.","medium-high","Portfolio-sajt, usluge i zakazivanje."
"P2","Sjever","Rožaje","Prizrenac-MNE","restoran/mesni specijaliteti","zvanični sajt nije pronađen nakon provjera","","+382 69 714 664; sekirealo@gmail.com","https://www.moja-djelatnost.me/najbolji-specijaliteti-od-mesa-rozaje/prizrenac-mne/MM1B1y04","Pronađen je profil sa dobrim ocjenama, ali ne i meni, galerija ili zvanični domen.","medium-high","Meni, ambijent, mapa i rezervacija."
"P2","Sjever","Kolašin","Konoba Međuriječje","tradicionalni restoran","zvanični sajt nije pronađen nakon provjera","","+382 68 401 073","https://www.moja-djelatnost.me/restoran-tradicionalne-domace-kuhinje-medurijecje/konoba-medurijecje--kolasin/MM1FAypq","Aktivan objekat sa tradicijom od 2008, ali pronađen je samo direktorijumski profil.","medium-high","Višejezični meni, ruta i rezervacije za turiste."
"P2","Sjever","Gusinje/Grebaje","Restoran Wild Beauty","restoran/turizam","zvanični sajt nije pronađen nakon provjera","","+382 69 517 772; +382 68 386 807; hasanjulevic@icloud.com","https://www.moja-djelatnost.me/tradicionalni-restoran-gusinje/wild-beauty/MM1CnJCI","Nov objekat sa jakim vizuelnim potencijalom, ali nakon provjera nije pronađen zvanični domen.","medium-high","Vizuelni sajt koji prodaje doživljaj Grebaja i Prokletija."
"P2","Sjever","Plav","S.U.R. Plavljanka – Kod Bekteševića","ćevabdžinica/restoran","zvanični sajt nije pronađen nakon provjera","","+382 68 682 513; enis_km@hotmail.com","https://www.moja-djelatnost.me/najbolja-cevabdzinica-plav/sur-plavljanka---kod-bektesevica/MM1CsEbI","Direktorijumski profil postoji, ali nije pronađen sopstveni meni, galerija ili domen.","medium-high","Mali sajt sa menijem, mapom i fotografijama proizvoda."
"P2","Sjever","Plav","Beško","pizzeria/restoran","zvanični sajt nije pronađen nakon provjera","","+382 67 077 180; rifatbeskovic8@gmail.com","https://www.moja-djelatnost.me/najbolja-picerija-i-domaca-kuvana-jela-plav/besko/MM1K5MPh","Široka ponuda je opisana u direktorijumu, bez pronađenog zvaničnog domena ili menija.","medium-high","SEO meni, dostava/rezervacija i galerija bašte."
"P3","Sjever","Gusinje","Napolis-MN DOO","restoran","zvanični sajt nije pronađen nakon provjera","","+382 69 896 317","https://www.moja-djelatnost.me/najbolji-restoran-gusinje/napolis-mn-doo/MM1Id9Q6","Pronađen je samo direktorijumski profil; aktivnost i vlasništvo kontakta provjeriti neposredno prije outreach-a.","medium","Meni, galerija i SEO za domaću, italijansku i mediteransku kuhinju."
"P2","Centar","Podgorica","Auto mehaničar Podgorica","autoservis","prosječan/generičan sajt","https://automehanicar.co.me/","+382 67 016 109","https://automehanicar.co.me/","Sajt je uglavnom dugačak generički tekst, bez vidljivog brenda, adrese, termina ili strukturisanih servisnih stranica.","high","Brendirana lokalna prezentacija i konkretan booking za vrste servisa."
"P2","Sjever","Nikšić","Autoelektrika Bato","autoelektrika/autodjelovi","besplatni builder/prosječan sajt","https://autoelektrikabato.mystrikingly.com/","+382 69 771 775; autoelektrikank@yahoo.com","https://autoelektrikabato.mystrikingly.com/","Strikingly poddomen, stock Unsplash slike i mješavina jezika umanjuju profesionalni utisak.","high","Sopstveni domen, stvarne fotografije radova i termin/upit za djelove."
"P2","Centar","Podgorica","M Progres","građevinski materijal/beton","veoma zastario sajt","https://www.mprogres.co.me/BETON_M_PROGRES_PODGORICA.html","+382 69 600 618; mprogresm@gmail.com","https://www.mprogres.co.me/BETON_M_PROGRES_PODGORICA.html","Indeksirana HTML prezentacija sa copyrightom 2015 i veoma gustom tekstualnom strukturom.","medium-high","Katalog proizvoda, reference i forma za B2B ponudu."
"P2","Primorje","Tivat","Likoteh","građevina","zastario/prosječan sajt","https://www.likoteh.me/","+382 67 621 675; likoteh1@gmail.com","https://www.likoteh.me/en/stoliv/","Stranice koriste generičke naslove Home 1–4 i image-heavy strukturu; copyright je 2015.","high","Savremen portfolio projekata, reference i upit investitora."
"P3","Centar","Podgorica","Izonet","hidroizolacija/građevina","zastario/prosječan sajt","https://www.izonet.net/","+382 67 065 758; veleprodaja@izonet.net","https://www.izonet.net/en/","Copyright 2015 i stara CMS prezentacija; prije kontakta provjeriti aktuelnost ponude i domena.","medium","Reference, sistemi po namjeni i B2B upiti."
"P2","Sjever","Bijelo Polje","Imperijal Shopping / Caffe & Restoran","tržni centar/restoran","nepouzdan/stari sajt","https://www.imperijal.me/","+382 50 478 601","https://www.imperijal.me/index.php/djelatnosti/trzni-centar/imperijal-caffe-restoran","Sajt je tokom više provjera vraćao 502; indeksirani sadržaj koristi stari index.php i nečitljivu email zaštitu.","medium-high","Stabilan sajt za trgovinu, restoran, lokaciju i ponude."
"P2","Centar","Podgorica","C-Line štamparija","štamparija/B2B","tehnički slab sajt","https://clinestamparija.com/","+382 69 012 299; info@cline.co.me","https://clinestamparija.com/english/","Indeksirana engleska strana prikazuje sirovi contact-form shortcode; root je tokom provjere bio nepouzdan.","medium-high","Uredan B2B katalog, upload upita i jasne kontakt forme."
"P1","Primorje","Igalo/Herceg Novi","Hotel Lighthouse","hotel/konferencije","tehnički oštećen i zastario sajt","https://www.hotellighthouse.me/index.php/me/","+382 31 331 615; sales@hotellighthouse.me","https://www.hotellighthouse.me/index.php/me/","Na početnoj je javno vidljiv Joomla/RokSprocket warning, copyright 2017 i link ka preuzetom ruskom Joomla templateu; hotel navodi 365 ležajeva.","high","Ukloniti javnu grešku i modernizovati direktni booking, konferencije i izlete."
"P1","Sjever","Pljevlja","Hotel Pljevlja","hotel/restoran","aktivan biznis; aktuelni zvanični sajt nije pronađen nakon provjera","","+382 68 867 067; hotelpljevlja@gmail.com","https://www.companywall.me/firma/hotel-pljevljadoo-pljevlja/MMCtbpq","Registar potvrđuje aktivan hotel sa 32 zaposlena i prihodom 1,378 miliona EUR u 2025; savremeni zvanični domen nije pronađen, dok stara brošura navodi .co.yu adresu.","high","Visokovrijedan redizajn za sobe, restoran, događaje i direktne rezervacije."
"P2","Primorje","Budva","Regina E","restoran","zvanični sajt nije pronađen nakon provjera","https://www.facebook.com/reginabudva/","+382 68 002 929; reginabudva@gmail.com","https://restaurantguru.com/Regina-E-Budva","Aktivan restoran u Starom gradu; ažurirani listing kao website navodi Facebook, ne sopstveni domen.","high","Premium višejezični meni i rezervacije za goste Starog grada."
"P2","Centar","Nikšić","Ski Bar Krupac","restoran/eventi","aktuelni zvanični sajt nije potvrđen","https://www.facebook.com/skibarkrupac/","+382 67 104 589; krupacmont@gmail.com","https://moja-djelatnost.me/najlepsi-restoran-na-jezeru-niksic/turisticko-sportski-centar-krupac/MM15yxkM","Aktivan restoran sa 8 zaposlenih, proslavama do 100 mjesta i Facebook prisustvom; stariji izvori pominju domen koji nije potvrđen.","medium-high","Vizuelni sajt za jezero, meni, događaje i grupne rezervacije."
"P2","Primorje","Budva","Hotel Grbalj","hotel/restoran/proslave","zastario/prosječan sajt","https://www.hotelgrbalj.me/","+382 33 452 300; +382 69 420 181; hotelgrbalj@t-com.me","https://www.hotelgrbalj.me/","Funkcionalna ali legacy prezentacija sa zbijenom navigacijom i osnovnim datumskim upitom; restoran ima kapacitet oko 160 mjesta.","high","Moderni višejezični booking i odvojeni tokovi za sobe, restoran i proslave."
